persona,nombre,apellido,genero,direccion,dni,telefono1-2,departamento,ubigeo
114,"DONALD	",          GONZALEZ,M,CA. CA. Zona Industrial 1-2 Sub lote 1 y 5b MZ z,23657891,21111-21111,LIMA,15101
115,"DAMIEN	",          CHANDER,M,CA. CA. LOS CEDROS 220 SAN ISIDRO,23657892,39083060-39083060,LIMA,15101
116,"SAVANNAH	",          BAKER,F,CA. CA. LA MARINA 3112,23657893,14052615-14052615,LIMA,15101
117,"ANGELA	",          BUTLER,F,CA. CA. LOS CALDEROS 286 - URB. VULCANO,23657894,12366248-12366248,LIMA,15101
118,"ALYSSA	",          COX,F,CA. CA. LAS Asturias 469,23657895,34342326-34342326,LIMA,15101
119,"LUCAS	",          PHILLIPS,M,CA. CA. parcela ii manz. l lote 31-Pque. Industr,23657896,13386790-13386790,LIMA,15101
120,"EMILY	",          JOHNSON,F,CA. CA. lampa 1058 Tda 101,23657897,16257443-16257443,LIMA,15101
121,"RYAN	",          BROWN,M,CA. CA. PARCELA II MANZ. L LOTE 31 SOLIDARIDAD,23657898,29530262-29530262,LIMA,15101
122,"TAMARA	",          LIANG,F,CA. CA. ASOC. VIRGEN DEL CARMEN MZ-B LOT-14. ATE.,23657899,2000712751-2000712751,LIMA,15101
123,"HUNTER	",          DAVIS,M,CA. CA. LOS CALDEROS 286,23657900,67819352-67819352,LIMA,15101
124,"ABIGAIL	",          PRICE,F,CA. CA. PEDRO RUIZ 731 754,23657901,67819352-67819352,LIMA,15101
125,"TREVOR	",          BRYANT,M,CA. CA. Cll Federico Recavarren 125-131 Of 204 M,23657902,71453-71453,LIMA,15101
127,"DALTON	",          PEREZ,M,CA. CA. Terminal Terrestre Agencia Nø 9 y 11,23657903,12861273-12861273,LIMA,15101
128,"CHERYL	",          DIAZ,F,CA. CA. Porcel N 105,23657904,20166422231-20166422231,LIMA,15101
129,"AIMEE	",          HE,F,CA. CA. SHELL 329,23657905,164672-164672,LIMA,15101
130,"CEDRIC	",          MA,M,CA. CORONEL INCLAN 759,23657906,683262-683262,LIMA,15101
131,"CHAD	",          KUMAR,M,CA. FEDERICO GEROES 150 PANDO,23657907,909449-909449,LIMA,15101
132,"ANDRÉS	",          ANAND,M,CA. PJ. VERAND 187,23657908,20259880603-20259880603,LIMA,15101
133,"EDWIN	",          NARA,M,CA. HIPOLITO UNANUE 175,23657909,61228824-61228824,LIMA,15101
134,"MALLORY	",          RUBIO,F,CA. LEONCIO PRADO 536 SANTA-ANCASH,23657910,34331642-34331642,LIMA,15101
135,"ADAM	",          ROSS,M,CA. ELIAS AGUIRRE 155,23657911,20264695385-20264695385,LIMA,15101
136,"LATASHA	",          NAVARRO,F,CA. Santiago Tavara 1446 Chacra Rios,23657912,25889444-25889444,LIMA,15101
137,"ABBY	",          SAI,F,CA. ALMIRANTE GUISSE 1723,23657913,41957018-41957018,LIMA,15101
138,"JULIA	",          NELSON,F,CA. DOS DE MAYO 990,23657914,20204621242-20204621242,LIMA,15101
139,"CASSIE	",          CHANDE,F,CA. LEONIDAS LASARRE 384,23657915,2000412447-2000412447,LIMA,15101
140,"EDGAR	",          SARA,M,CA. Jo Del Llano Zapata 331,23657916,2000119065-2000119065,LIMA,15101
141,"CANDACE	",          FERNANDEZ,F,CA. MAMA OCLLO 2115 INT 404,23657917,229316-229316,LIMA,15101
142,"JESSIE	",          LIU,M,CA. Paseo de la Republica 3220,23657918,20251715191-20251715191,LIMA,15101
143,"BIANCA	",          LIN,F,CA. LOS CEDROS 598 DPTO 301,23657919,2000084334-2000084334,LIMA,15101
144,"KARI	",          ALVAREZ,F,CA. ISLAS VIRGENES 170,23657920,2080831-2080831,LIMA,15101
145,"RUBEN	",          KAPOOR,M,CA. JOCKEY PLAZA,23657921,37087351-37087351,LIMA,15101
146,"CURTIS	",          YANG,M,CA. JOCKEY PLAZA,23657922,20143229816-20143229816,LIMA,15101
147,"MEREDITH	",          GUTIERREZ,F,CA. JOCKEY PLAZA,23657923,38632655-38632655,LIMA,15101
148,"CRYSTAL	",          WANG,F,CA. LAS ASTURIAS 469(Mza.A Lte.7),23657924,2000016681-2000016681,LIMA,15101
149,"MICHEAL	",          BLANCO,M,CA. PROL.STA.ANA Mza.N Lte.4-578 LOS SAUCES,23657925,22877488-22877488,LIMA,15101
150,"LESLIE	",          MORENO,F,CA. MANUEL RUIZ 909,23657926,481112-481112,LIMA,15101
151,"ALVIN	",          CAI,M,CA. DIAGONAL 160,23657927,40016820-40016820,LIMA,15101
152,"CLINTON	",          CARLSON,M,CA. C/ NU¥EZ DE BALBOA 530,23657928,13684723-13684723,LIMA,15101
153,"APRIL	",          DENG,F,CA. Independencia 978,23657929,30762037-30762037,LIMA,15101
154,"ALVIN	",          ZENG,M,CA. Micaela Bastidas 464,23657930,20112273922-20112273922,LIMA,15101
155,"EVAN	",          JAMES,M,CA. Pablo Casals 312,23657931,811341-811341,LIMA,15101
156,"BETH	",          JIMÉNEZ,F,CA. Jesus de Nazareth 510,23657932,46138333-46138333,LIMA,15101
157,"ORLANDO	",          SUAREZ,M,CA. Gamarra 770,23657933,12234422-12234422,LIMA,15101
158,"BYRON	",          VAZQUEZ,M,CA. GRAL ORBEGOZO 1299,23657934,71151-71151,LIMA,15101
159,"PHILIP	",          ALVAREZ,M,CA. JUSTO PASTOR DAVILA 102,23657935,200000136-200000136,LIMA,15101
160,"ROSS	",          JORDAN,M,CA. LAS ACACIAS 274,23657936,200000217-200000217,LIMA,15101
161,"DANA	",          NAVARRO,F,CA. PROLONGACION JAVIER PRADO ESTE 8029,23657937,33884630-33884630,LIMA,15101
162,"SHAUN	",          CARSON,M,CA. Paseo de la Republica 6176,23657938,20363691243-20363691243,LIMA,15101
163,"JAN	",          EDWARDS,F,CA. PORTAL DE PANES 163,23657939,13629064-13629064,LIMA,15101
164,"SAMANTHA	",          LONG,F,CA. SAN JUAN DE DIOS 108-A,23657940,13478627-13478627,LIMA,15101
165,"JULIA	",          WRIGHT,F,CA. SAN PEDRO 139,23657941,32666051-32666051,LIMA,15101
166,"CAROLINE	",          RUSSELL,F,CA. ESQ.ELMER FAUCETT Y TOMAS VALLE S/N,23657942,40888748-40888748,LIMA,15101
167,"AMANDA	",          RIVERA,F,CA. PROLONG LA MAR 779,23657943,40896295-40896295,LIMA,15101
168,"MELISSA	",          RICHARDSON,F,CA. ASOC.SE¥OR DE LOS MILAGROS PJ.33,23657944,378451-378451,LIMA,15101
169,"ANGELA	",          GRIFFIN,F,CA. PASAJE BRENNER 165 DPTO 10. JESUS MARIA.,23657945,40203185-40203185,LIMA,15101
170,"LARRY	",          TOWNSEND,M,CA. ELIAS AGUIRRE 502,23657946,27292089-27292089,LIMA,15101
171,"MARCUS	",          HARRIS,M,CA. PARINACOCHAS 1199,23657947,20430320387-20430320387,LIMA,15101
172,"BRIANNA	",          MORGAN,F,CA. JUAN VELASCO 741,23657948,2000637791-2000637791,LIMA,15101
173,"JASMINE	",          TAYLOR,F,CA. LOS SAUCES 294,23657949,20117200214-20117200214,LIMA,15101
174,"LAUREN	",          DAVIS,F,CA. PROSPERO 127,23657950,26234271-26234271,LIMA,15101
175,"TANYA	",          MORENO,F,CA. ASQ. PLAZA DE ARMAS  Y GRAU 425,23657951,94403125-94403125,LIMA,15101
176,"JAVIER	",          ALVAREZ,M,CA. BOLIVAR 163,23657952,2000328225-2000328225,LIMA,15101
177,"NICOLE	",          RAMIREZ,F,CA. PLAZA DE ARMAS 120,23657953,20208388925-20208388925,LIMA,15101
178,"EDUARDO	",          PATTERSON,M,CA. FCO. PIZARRO 725,23657954,39202280-39202280,LIMA,15101
179,"JONATHAN	",          HENDERSON,M,CA. ALFREDO LAPOINT 1058,23657955,2000355117-2000355117,LIMA,15101
180,"EDWARD	",          HERNANDEZ,M,CA. LAS MALVINAS STAND 44,23657956,39202280-39202280,LIMA,15101
181,"JASMINE	",          COLEMAN,F,CA. PARQUE MELITON PORRAS 350,23657957,2009072177-2009072177,LIMA,15101
182,"KARLA	",          GOEL,F,CA. PASEO DE LA REPUBLICA 1048-1052,23657958,11989489-11989489,LIMA,15101
183,"ERNEST	",          WU,M,CA. ESQ.CAllE LIMA 293 Y DOS DE MAYO 107,23657959,11256708-11256708,LIMA,15101
184,"ROSS	",          VAZQUEZ,M,CA. jerusalen 114-116,23657960,211118879-211118879,JUNIN,FALSO
185,"THEODORE	",          GILL,M,CA. PSJE.LOS JAZMINES MZ-40 LT-14 FUNDO MARQ,23657961,30420390-30420390,LIMA,15101
186,"RUSSELL	",          SHEN,M,CA. MERCADO MINORISTA STA.ROSA  TDA.220,23657962,90735484-90735484,LIMA,15101
187,"MELINDA	",          GILL,F,CA. CIUDAD SATELITE STA.ROSA MZ W LT 25,23657963,20290837970-20290837970,LIMA,15101
188,"JAMES	",          WILLIAMS,M,CA. LOS TUCANES 111,23657964,41498552-41498552,LIMA,15101
189,"ANGELA	",          JAMES,F,CA. PSJE STA CATALINA 105,23657965,25326440-25326440,LIMA,15101
190,"MEGAN	",          WALKER,F,CA. CORONEL ZEGARRA 1066 DPTO 501,23657966,45720379-45720379,LIMA,15101
191,"HUNTER	",          ROBINSON,M,CA. PASEO DE LA REPUBLICA 1010,23657967,34213127-34213127,LIMA,15101
192,"MARIA	",          ROBERTS,F,CA. JOSE GALVEZ BARRENECHEA  211,23657968,329093145-329093145,LIMA,15101
193,"HANNAH	",          LONG,F,CA. PEDRO CONDE 347,23657969,20111855766-20111855766,LIMA,15101
194,"JASON	",          WRIGHT,M,CA. PJE.STA.ROSA 153,23657970,20341198217-20341198217,LIMA,15101
195,"BRIANNA	",          HUGHES,F,CA. Diez Canseco 315 of 7-8,23657971,13602646-13602646,LIMA,15101
196,"MAURICE	",          TANG,M,CA. PANAMERICANA SUR KM 18 CHORRILLOS,23657972,11989489-11989489,LIMA,15101
197,"EMILY	",          WOOD,F,CA. MALECON CISNEROS 1470. MIRAFLORES,23657973,20369271351-20369271351,LIMA,15101
198,"CHASE	",          COX,M,CA. MALECON DE LA MARINA 526,23657974,63230-63230,LIMA,15101
199,"GABRIEL	",          WANG,M,CA. VICENTE DE LA VEGA 851,23657975,2001327541-2001327541,LIMA,15101
200,"DEVIN	",          BROOKS,M,CA. MAUNUEL MARIA IZAGA 774,23657976,20272217859-20272217859,AREQUIPA,FALSO
201,"JOCELYN	",          ALEXANDER,F,CA. PIZARRO 711,23657977,1145507-1145507,LIMA,15101
202,"ASHLEY	",          MARTINEZ,F,CA. SAN MARTIN 568 2DO PISO,23657978,2003845913-2003845913,LORETO,FALSO
203,"JASMINE	",          BARNES,F,CA. PIEROLA 111-A,23657979,2000800293-2000800293,LIMA,15101
204,"DAVID	",          RODRIGUEZ,M,CA. JERUSALEN 207,23657980,20129683709-20129683709,HUANUCO,FALSO
205,"BRYCE	",          RICHARDSON,M,CA. ANGELA PODESTA 173,23657981,36367296-36367296,LIMA,15101
206,"CAROL	",          HOWARD,F,CA. JORGE CHAVEZ CDRA 7 S/N PTO.341,23657982,22673122-22673122,LIMA,15101
207,"JONATHAN	",          HILL,M,CA. clorinda matos de turner 2045,23657983,2000073723-2000073723,LIMA,15101
208,"GABRIELLE	",          ADAMS,F,CA. elias aguirre 600,23657984,41732140-41732140,LIMA,15101
209,"SARAH	",          THOMAS,F,CA. REPUBLICA DE PANAMA 250 URB.TORRES ARAUJ,23657985,20334720132-20334720132,LIMA,15101
210,"NICHOLAS	",          ROBINSON,M,CA. BARCELONA 580,23657986,34505586-34505586,LIMA,15101
211,"LUIS	",          WANG,M,CA. JAVIER HERAUD 175 DPTO 301,23657987,86060-86060,LIMA,15101
212,"MASON	",          ROBERTS,M,CA. PROLONG.HUAMANGA 623-625,23657988,20132825794-20132825794,JUNIN,FALSO
213,"JOSE	",          FLORES,M,CA. ALAMEDA BIDAURRE 573. LOS PROCERES,23657989,25034759-25034759,LIMA,15101
214,"NATHAN	",          JOHNSON,M,CA. JERUSALEN 122,23657990,2029707-2029707,LIMA,15101
215,"MOLLY	",          RODRIGUEZ,F,CA. PROLONGACION LUCANAS 1287 LA VICTORIA,23657991,2020974114-2020974114,LIMA,15101
216,"APRIL	",          ANAND,F,CA. PIZARRO 705-TRUJILLO,23657992,20788968-20788968,LIMA,15101
217,"DEVIN	",          MARTIN,M,CA. MANUEL MARIA YZAGA 752 CHICLAYO,23657993,42342777-42342777,LIMA,15101
218,"STEPHANIE	",          TORRES,F,CA. PIZARRO 332-TRUJILLO,23657994,11467750-11467750,LIMA,15101
219,"JASMINE	",          LEE,F,CA. AEROPUERTO QUI¥ONES-CHICLAYO,23657995,13847201-13847201,LIMA,15101
220,"MEGHAN	",          HERNANDEZ,F,CA. PUENTE BOLOGNESI 110 AREQUIPA,23657996,9606047-9606047,LIMA,15101
221,"ASHLEY	",          HENDERSON,F,CA. SAN ISIDRO,23657997,19317749-19317749,LIMA,15101
222,"SARAH	",          PRICE,F,CA. PJE. REQUENA 170 BRE¥A,23657998,200151587-200151587,LIMA,15101
223,"JENNIFER	",          COOPER,F,CA. CMDTE JIMENEZ 141,23657999,40508279-40508279,MOQUEGUA,FALSO
224,"CATHERINE	",          MORRIS,F,CA. MARISCAL LUZURIAGA 282,23658000,12320221-12320221,LIMA,15101
225,"LAWRENCE	",          BLANCO,M,CA. SANTA CATALINA ANCHA 360,23658001,20325134250-20325134250,LIMA,15101
226,"CARSON	",          BRYANT,M,CA. PUENTE ROSARIO 126,23658002,20120695372-20120695372,HUANUCO,FALSO
227,"KRISTI	",          PEREZ,F,CA. LOS OLIVOS 371,23658003,2000352444-2000352444,LIMA,15101
228,"JAMES	",          BROWN,M,CA. MALECON DE LA RESERVA 610 N301,23658004,214598391-214598391,ICA,FALSO
229,"IAN	",          GRAY,M,CA. AURELIO FERNANDEZ CONCHA 141. MIRAFLORES,23658005,11582168-11582168,LIMA,15101
230,"JACQUELINE	",          PRICE,F,CA. EMILIO CAVENECIA,23658006,20424718361-20424718361,LIMA,15101
231,"MEGAN	",          HENDERSON,F,CA. Psje.Sta.Catalina 101,23658007,4331985-4331985,AREQUIPA,FALSO
232,"ALFREDO	",          ROMERO,M,CA. PJ.SANTA ISABEL 300 CRUCE JORGE CHAVEZ,23658008,20385214031-20385214031,LIMA,15101
233,"ANDREA	",          MORRIS,F,CA. ESTADOS UNIDOS 162 URB.EL RECREO,23658009,40330127-40330127,LIMA,15101
234,"BROOKE	",          SANDERS,F,CA. VICENTE DE LA VEGA 847,23658010,753287-753287,LIMA,15101
235,"JACQUELINE	",          BENNETT,F,CA. ALFONSO UGARTE 1186,23658011,87066-87066,LIMA,15101
236,"JASON	",          GRIFFIN,M,CA. francisco masias 544 of 201,23658012,14444262-14444262,LIMA,15101
237,"AMANDA	",          FOSTER,F,CA. MZ-19 LT- URB BOCANEGRA,23658013,15985593-15985593,LIMA,15101
238,"ALEXIA	",          PRICE,F,CA. PROLONGACION PRIMAVERA 311,23658014,20404497520-20404497520,LIMA,15101
239,"LUIS	",          DIAZ,M,CA. MALECON 28 DE JULIO 390,23658015,20114544290-20114544290,CUSCO,FALSO
240,"DESTINY	",          RIVERA,F,CA. ALVAREZ THOMAS 221,23658016,66751-66751,LIMA,15101
241,"ABBY	",          FERNANDEZ,F,CA. LOS ROSALES 280 SANTA VICTORIA,23658017,13684723-13684723,LIMA,15101
242,"BLAKE	",          FLORES,M,CA. PASAJE PE¥ALOZA 166,23658018,18828855-18828855,LIMA,15101
243,"DANIELLE	",          COX,F,CA. MANUEL SCORZA D-46 NUEVA CASTILLA SURCO.,23658019,200002676-200002676,LIMA,15101
244,"MARIA	",          REED,F,CA. AMAZONAS 223,23658020,1970664-1970664,LIMA,15101
245,"ALLISON	",          EVANS,F,CA. PORTAL CONFITURIA 249,23658021,20250963719-20250963719,LIMA,15101
246,"EDWARD	",          WOOD,M,CA. AEROPUERTO VELASCO ASTETE PRIMER PISO,23658022,44364468-44364468,LIMA,15101
247,"SAMANTHA	",          RUSSELL,F,CA. SAN JUAN DE DIOS 108-A,23658023,22089214-22089214,LIMA,15101
248,"CHLOE	",          CAMPBELL,F,CA. SAN JUAN DE DIOS 111,23658024,178444838-178444838,LIMA,15101
249,"STEPHANIE	",          MURPHY,F,CA. GENERAL MORAN 102-B,23658025,15528311-15528311,LIMA,15101
250,"CHARLES	",          MILLER,M,CA. GENERAL MORAN 102-B,23658026,84445164-84445164,LIMA,15101
251,"ANA	",          PERRY,F,CA. GENERAL SUAREZ 255,23658027,20332055624-20332055624,LIMA,15101
252,"JASMINE	",          TORRES,F,CA. PLAZA REGOCIJO 261,23658028,63248-63248,LIMA,15101
253,"NATALIE	",          ADAMS,F,CA. SAN JUAN DE DIOS 200-A,23658029,20123-20123,LIMA,15101
254,"OLIVIA	",          BROWN,F,CA. AEROPUERTO INTER.RODRIGUEZ BALLON 2øPISO,23658030,2035720090-2035720090,CUSCO,FALSO
255,"CHARLES	",          COOK,M,CA. BEATITA DE HUMAY 801  PISCO,23658031,37691283-37691283,LIMA,15101
256,"ERICA	",          HUANG,F,CA. FRANCISCO MASIAS 575 ESQ.CON DEAN VALDIV,23658032,20131-20131,LIMA,15101
257,"NATHAN	",          PERRY,M,CA. PARQUE GINEBRA 688,23658033,78525776-78525776,LIMA,15101
258,"ALEXANDRA	",          RIVERA,F,CA. MANUEL RUIZ 707 - 2DO PISO,23658034,2000704227-2000704227,LIMA,15101
259,"HAILEY	",          PATTERSON,F,CA. MANUEL RUIZ 707,23658035,20322078304-20322078304,LIMA,15101
260,"TIFFANY	",          LI,F,CA. NAPO 100-116 MALECON MALDONADO,23658036,20383365504-20383365504,LIMA,15101
261,"MADISON	",          LEE,F,"CA. SAN JUAN DE DIOS 318-A,B",23658037,2000347793-2000347793,LIMA,15101
262,"SYDNEY	",          ROSS,F,CA. JERUSALEN 500 YANAHUARA,23658038,20407252021-20407252021,LIMA,15101
